BMID000000141790,'Halomicrobium'
BMID000000140782,'Halomonas'
BMID000000141091,'Halobacteria'
BMID000000141626,'Halopiger'
BMID000000141138,'Haloquadratum'
BMID000000140902,'Halorhabdus'
BMID000000141905,'Halorhodospira'
BMID000000141623,'Halorubrum'
BMID000000140444,'Haloterrigena'
BMID000000142266,'Halothece'
BMID000000140719,'Halothermothrix'
BMID000000140826,'Halothiobacillus'
BMID000000142256,'Halovivax'
BMID000000140873,'Hamiltonella'
BMID000000141789,'Helicobacter'
BMID000000140394,'Heliobacterium'
BMID000000142011,'Herbaspirillum'
BMID000000141491,'Herminiimonas'
BMID000000140310,'Herpetosiphon'
BMID000000140391,'Hippea'
BMID000000140420,'Hirschia'
BMID000000141151,'Hodgkinia'
BMID000000140905,'Homo'
BMID000000142018,'Hydra'
BMID000000141267,'Hydrogenobacter'
BMID000000140600,'Hydrogenobaculum'
BMID000000140823,'Hyperthermus'
BMID000000141184,'Hyphomicrobium'
BMID000000141959,'Hyphomonas'
BMID000000141347,'Idiomarina'
BMID000000142099,'Ignavibacterium'
BMID000000140692,'Ignicoccus'
BMID000000140894,'Ignisphaera'
BMID000000142181,'Ilumatobacter'
BMID000000140881,'Ilyobacter'
BMID000000140455,'Intrasporangium'
BMID000000141307,'Isoptericola'
BMID000000140640,'Isosphaera'
BMID000000141929,'Ixodes'
BMID000000141848,'Jannaschia'
BMID000000140217,'Janthinobacterium'
BMID000000140804,'Jonesia'
BMID000000140461,'Kangiella'
BMID000000142224,'Kazachstania'
BMID000000141904,'Ketogulonicigenium'
BMID000000140563,'Kineococcus'
BMID000000141454,'Kitasatospora'
BMID000000141743,'Klebsiella'
BMID000000140836,'Kluyveromyces'
BMID000000141516,'Kocuria'
BMID000000140267,'Korarchaeum'
BMID000000140739,'Koribacter'
BMID000000140326,'Kosmotoga'
BMID000000140666,'Kribbella'
BMID000000140497,'Krokinobacter'
BMID000000140788,'Kytococcus'
BMID000000141305,'Laccaria'
BMID000000140749,'Lachancea'
BMID000000141958,'Lacinutrix'
BMID000000141915,'Lactobacillus'
BMID000000141281,'Lactococcus'
BMID000000141110,'Laribacter'
BMID000000141400,'Lawsonia'
BMID000000141496,'Leadbetterella'
BMID000000140243,'Legionella'
BMID000000141773,'Leifsonia'
BMID000000141763,'Leishmania'
BMID000000142119,'Leptolyngbya'
BMID000000141832,'Leptospira'
BMID000000140604,'Leptospirillum'
BMID000000140381,'Leptothrix'
BMID000000140955,'Leptotrichia'
BMID000000141436,'Leuconostoc'
BMID000000140591,'Liberibacter'
BMID000000141472,'Listeria'
BMID000000140951,'Lodderomyces'
BMID000000140687,'Lotus'
BMID000000141813,'Lysinibacillus'
BMID000000140466,'Macaca'
BMID000000140841,'Macrococcus'
BMID000000141944,'Magnaporthe'
BMID000000140282,'Magnetococcus'
BMID000000141680,'Magnetospirillum'
BMID000000141131,'Mahella'
BMID000000141859,'Malassezia'
BMID000000141499,'Mannheimia'
BMID000000141001,'Maribacter'
BMID000000141864,'Maricaulis'
BMID000000140321,'Marinithermus'
BMID000000142027,'Marinitoga'
BMID000000141538,'Marinobacter'
BMID000000141885,'Marinomonas'
BMID000000140494,'Marivirga'
BMID000000140520,'Medicago'
BMID000000142350,'Megamonas'
BMID000000140722,'Megasphaera'
BMID000000141129,'Meiothermus'
BMID000000140345,'Meleagris'
BMID000000141082,'Melissococcus'
BMID000000141045,'Mesoplasma'
BMID000000140976,'Mesorhizobium'
BMID000000142744,'Mesotoga'
BMID000000141490,'Metallosphaera'
BMID000000141460,'Methanobacterium'
BMID000000141367,'Methanobrevibacter'
BMID000000140852,'Methanocaldococcus'
BMID000000141079,'Methanocella'
BMID000000141503,'Methanococcoides'
BMID000000141286,'Methanococcus'
BMID000000140416,'Methanocorpusculum'
BMID000000141782,'Methanoculleus'
BMID000000140336,'Methanohalobium'
BMID000000140339,'Methanohalophilus'
BMID000000142294,'Methanolobus'
BMID000000142462,'Methanomethylovorans'
BMID000000141694,'Methanoplanus'
BMID000000140883,'Methanopyrus'
BMID000000141248,'Methanoregula'
BMID000000140970,'Methanosaeta'
BMID000000140750,'Methanosalsum'
BMID000000141989,'Methanosarcina'
BMID000000141268,'Methanosphaera'
BMID000000141728,'Methanosphaerula'
BMID000000140674,'Methanospirillum'
BMID000000141486,'Methanothermobacter'
BMID000000141815,'Methanothermococcus'
BMID000000140311,'Methanothermus'
BMID000000141966,'Methanotorris'
BMID000000142022,'Methylacidiphilum'
BMID000000140793,'Methylibium'
BMID000000141956,'Methylobacillus'
BMID000000141807,'Methylobacterium'
BMID000000141260,'Methylocella'
BMID000000141026,'Methylococcus'
BMID000000142642,'Methylocystis'
BMID000000140430,'Methylomicrobium'
BMID000000141724,'Methylomonas'
BMID000000142194,'Methylophaga'
BMID000000141531,'Methylotenera'
BMID000000141948,'Methylovorus'
BMID000000141588,'Meyerozyma'
BMID000000140406,'Micavibrio'
BMID000000141748,'Microbacterium'
BMID000000140451,'Micrococcus'
BMID000000142283,'Microcoleus'
BMID000000141745,'Microcystis'
BMID000000141868,'Microlunatus'
BMID000000140699,'Micromonospora'
BMID000000141706,'Midichloria'
BMID000000140715,'Mobiluncus'
BMID000000142267,'Modestobacter'
BMID000000141409,'Moniliophthora'
BMID000000140292,'Monodelphis'
BMID000000140887,'Monosiga'
BMID000000141240,'Moorella'
BMID000000141540,'Moranella'
BMID000000141520,'Moraxella'
BMID000000142651,'Morganella'
BMID000000140577,'Muricauda'
BMID000000141688,'Mus'
BMID000000140977,'Mycobacterium'
BMID000000141275,'Mycoplasma'
BMID000000142190,'Mycosphaerella'
BMID000000140860,'Myxococcus'
BMID000000141642,'Naegleria'
BMID000000140506,'Nakamurella'
BMID000000141716,'Nanoarchaeum'
BMID000000141011,'Nasonia'
BMID000000140598,'Natranaerobius'
BMID000000140512,'Natrialba'
BMID000000142791,'Natrinema'
BMID000000142091,'Natronobacterium'
BMID000000142326,'Natronococcus'
BMID000000141430,'Natronomonas'
BMID000000142066,'Naumovozyma'
BMID000000140981,'Nautilia'
BMID000000141329,'Nectria'
BMID000000140712,'Neisseria'
BMID000000140638,'Nematostella'
BMID000000141670,'Neorickettsia'
BMID000000141325,'Neosartorya'
BMID000000140971,'Neurospora'
BMID000000140932,'Niastella'
BMID000000141595,'Nitratifractor'
BMID000000140801,'Nitratiruptor'
BMID000000141943,'Nitrobacter'
BMID000000140901,'Nitrosococcus'
BMID000000140974,'Nitrosomonas'
BMID000000141272,'Nitrosopumilus'
BMID000000142424,'Nitrososphaera'
BMID000000140615,'Nitrosospira'
BMID000000141699,'Nocardia'
BMID000000141618,'Nocardioides'
BMID000000141947,'Nocardiopsis'
BMID000000142104,'Nonlabens'
BMID000000140802,'Nosema'
BMID000000140371,'Nostoc'
BMID000000140260,'Novosphingobium'
BMID000000141994,'Oceanimonas'
BMID000000140417,'Oceanithermus'
BMID000000140935,'Oceanobacillus'
BMID000000140709,'Ochrobactrum'
BMID000000142459,'Octadecabacter'
BMID000000141734,'Odoribacter'
BMID000000141022,'Oenococcus'
BMID000000140297,'Oligotropha'
BMID000000140596,'Olsenella'
BMID000000141711,'Onion'
BMID000000141851,'Opitutus'
BMID000000141817,'Orientia'
BMID000000142819,'Ornithobacterium'
BMID000000141074,'Ornithorhynchus'
BMID000000141346,'Oryza'
BMID000000140257,'Oryzias'
BMID000000142470,'Oscillatoria'
BMID000000141201,'Oscillibacter'
BMID000000141000,'Ostreococcus'
BMID000000140844,'Owenweeksia'
BMID000000142012,'Paenibacillus'
BMID000000140296,'Paludibacter'
BMID000000141799,'Pan'
BMID000000141128,'Pantoea'
BMID000000140276,'Parabacteroides'
BMID000000141806,'Parachlamydia'
BMID000000142134,'Paracoccidioides'
BMID000000140337,'Paracoccus'
BMID000000140938,'Paramecium'
BMID000000141938,'Parvibaculum'
BMID000000141572,'Parvularcula'
BMID000000140744,'Pasteurella'
BMID000000140980,'Pectobacterium'
BMID000000141466,'Pediculus'
BMID000000140538,'Pediococcus'
BMID000000140907,'Pedobacter'
BMID000000140211,'Pelagibacter'
BMID000000141594,'Pelagibacterium'
BMID000000140880,'Pelobacter'
BMID000000141543,'Pelodictyon'
BMID000000141102,'Pelotomaculum'
BMID000000141537,'Penicillium'
BMID000000140410,'Persephonella'
BMID000000141646,'Petrotoga'
BMID000000142247,'Phaeobacter'
BMID000000140419,'Phaeodactylum'
BMID000000140937,'Phaeosphaeria'
BMID000000141465,'Phanerochaete'
BMID000000141376,'Phenylobacterium'
BMID000000140369,'Photobacterium'
BMID000000140447,'Photorhabdus'
BMID000000140333,'Phycisphaera'
BMID000000140910,'Physcomitrella'
BMID000000140564,'Phytophthora'
BMID000000140963,'Phytoplasma'
BMID000000140620,'Pichia'
BMID000000141080,'Picrophilus'
BMID000000140413,'Pirellula'
BMID000000140993,'Planctomyces'
BMID000000140319,'Plasmodium'
BMID000000142719,'Pleurocapsa'
BMID000000141072,'Podospora'
BMID000000142142,'Polaribacter'
BMID000000141582,'Polaromonas'
BMID000000141269,'Polymorphum'
BMID000000140224,'Polynucleobacter'
BMID000000140269,'Pongo'
BMID000000140833,'Populus'
